Epoch 107, Loss 51.7772, TD-Loss 15.0127, NTD-Loss 25.5673, Margin Loss 11.1956, L2 Loss 0.0015
Epoch 108, Loss 43.9401, TD-Loss 15.7775, NTD-Loss 23.6006, Margin Loss 4.5605, L2 Loss 0.0015
Epoch 109, Loss 41.9079, TD-Loss 14.7823, NTD-Loss 20.2793, Margin Loss 6.8448, L2 Loss 0.0015
Epoch 110, Loss 39.5309, TD-Loss 10.0921, NTD-Loss 17.1628, Margin Loss 12.2744, L2 Loss 0.0015
Epoch 111, Loss 24.1020, TD-Loss 18.6156, NTD-Loss 17.3455, Margin Loss -11.8607, L2 Loss 0.0015
Epoch 112, Loss 40.8668, TD-Loss 15.6829, NTD-Loss 20.5348, Margin Loss 4.6476, L2 Loss 0.0015
Epoch 113, Loss 44.0847, TD-Loss 14.9806, NTD-Loss 20.4446, Margin Loss 8.6580, L2 Loss 0.0015
Epoch 114, Loss 38.9806, TD-Loss 17.3501, NTD-Loss 19.7299, Margin Loss 1.8990, L2 Loss 0.0015
Epoch 115, Loss 27.1961, TD-Loss 11.5344, NTD-Loss 17.6448, Margin Loss -1.9847, L2 Loss 0.0015
Epoch 116, Loss 39.8325, TD-Loss 15.2414, NTD-Loss 19.9001, Margin Loss 4.6895, L2 Loss 0.0015
Epoch 117, Loss 41.9870, TD-Loss 16.2616, NTD-Loss 18.2529, Margin Loss 7.4710, L2 Loss 0.0015
Epoch 118, Loss 33.8008, TD-Loss 13.7065, NTD-Loss 18.3130, Margin Loss 1.7797, L2 Loss 0.0015
Epoch 119, Loss 43.3784, TD-Loss 14.6614, NTD-Loss 18.3953, Margin Loss 10.3201, L2 Loss 0.0015
Epoch 120, Loss 31.9161, TD-Loss 14.2502, NTD-Loss 19.2098, Margin Loss -1.5454, L2 Loss 0.0015
Epoch 121, Loss 32.9701, TD-Loss 17.1578, NTD-Loss 18.1967, Margin Loss -2.3860, L2 Loss 0.0015
Epoch 122, Loss 44.3592, TD-Loss 16.2696, NTD-Loss 21.4236, Margin Loss 6.6644, L2 Loss 0.0015
Epoch 123, Loss 40.8787, TD-Loss 13.3426, NTD-Loss 19.1590, Margin Loss 8.3755, L2 Loss 0.0015
Epoch 124, Loss 26.8022, TD-Loss 15.6338, NTD-Loss 16.2745, Margin Loss -5.1077, L2 Loss 0.0015
Epoch 125, Loss 28.1437, TD-Loss 16.0901, NTD-Loss 16.5297, Margin Loss -4.4775, L2 Loss 0.0015
Epoch 126, Loss 37.2776, TD-Loss 15.3407, NTD-Loss 18.4103, Margin Loss 3.5250, L2 Loss 0.0015
Epoch 127, Loss 40.6303, TD-Loss 15.1830, NTD-Loss 18.9939, Margin Loss 6.4519, L2 Loss 0.0015
Epoch 128, Loss 38.6420, TD-Loss 15.6926, NTD-Loss 18.4748, Margin Loss 4.4731, L2 Loss 0.0015
Epoch 129, Loss 51.3191, TD-Loss 16.6932, NTD-Loss 23.0495, Margin Loss 11.5749, L2 Loss 0.0015
Epoch 130, Loss 43.4633, TD-Loss 16.7783, NTD-Loss 20.2616, Margin Loss 6.4219, L2 Loss 0.0015
Epoch 131, Loss 46.2673, TD-Loss 14.3074, NTD-Loss 19.3986, Margin Loss 12.5597, L2 Loss 0.0015
Epoch 132, Loss 29.5421, TD-Loss 12.0725, NTD-Loss 15.2493, Margin Loss 2.2187, L2 Loss 0.0015
Epoch 133, Loss 34.8111, TD-Loss 11.5475, NTD-Loss 14.2347, Margin Loss 9.0273, L2 Loss 0.0015
Epoch 134, Loss 34.6497, TD-Loss 17.5188, NTD-Loss 17.7261, Margin Loss -0.5968, L2 Loss 0.0015
Epoch 135, Loss 29.3053, TD-Loss 12.7498, NTD-Loss 15.4648, Margin Loss 1.0891, L2 Loss 0.0016
Epoch 136, Loss 28.3401, TD-Loss 14.0466, NTD-Loss 17.5210, Margin Loss -3.2290, L2 Loss 0.0016
Epoch 137, Loss 42.9065, TD-Loss 15.0076, NTD-Loss 17.3233, Margin Loss 10.5740, L2 Loss 0.0016
Epoch 138, Loss 41.5174, TD-Loss 15.6719, NTD-Loss 20.8438, Margin Loss 5.0002, L2 Loss 0.0016
Epoch 139, Loss 36.2523, TD-Loss 12.7227, NTD-Loss 19.8728, Margin Loss 3.6552, L2 Loss 0.0016
Epoch 140, Loss 39.5025, TD-Loss 15.3017, NTD-Loss 19.7366, Margin Loss 4.4626, L2 Loss 0.0016
Epoch 141, Loss 30.3543, TD-Loss 11.6404, NTD-Loss 13.1195, Margin Loss 5.5928, L2 Loss 0.0016
Epoch 142, Loss 40.6197, TD-Loss 17.2116, NTD-Loss 17.6620, Margin Loss 5.7446, L2 Loss 0.0016
Epoch 143, Loss 29.1565, TD-Loss 14.5441, NTD-Loss 14.5799, Margin Loss 0.0310, L2 Loss 0.0016
Epoch 144, Loss 35.3710, TD-Loss 12.3373, NTD-Loss 15.9844, Margin Loss 7.0478, L2 Loss 0.0016
Epoch 145, Loss 31.7683, TD-Loss 12.2875, NTD-Loss 17.5747, Margin Loss 1.9045, L2 Loss 0.0016
Epoch 146, Loss 37.7485, TD-Loss 15.3844, NTD-Loss 17.4463, Margin Loss 4.9163, L2 Loss 0.0016
Epoch 147, Loss 46.3056, TD-Loss 16.7621, NTD-Loss 19.3020, Margin Loss 10.2400, L2 Loss 0.0016
Epoch 148, Loss 42.7007, TD-Loss 14.8806, NTD-Loss 18.7998, Margin Loss 9.0188, L2 Loss 0.0016
Epoch 149, Loss 37.9594, TD-Loss 16.0169, NTD-Loss 16.8629, Margin Loss 5.0780, L2 Loss 0.0016
Epoch 150, Loss 32.8908, TD-Loss 20.2735, NTD-Loss 19.1032, Margin Loss -6.4875, L2 Loss 0.0016
Epoch 151, Loss 38.0356, TD-Loss 14.0851, NTD-Loss 16.8258, Margin Loss 7.1232, L2 Loss 0.0016
Epoch 152, Loss 37.5958, TD-Loss 14.8655, NTD-Loss 17.5572, Margin Loss 5.1715, L2 Loss 0.0016
Epoch 153, Loss 34.5969, TD-Loss 13.4023, NTD-Loss 16.7975, Margin Loss 4.3955, L2 Loss 0.0016
Epoch 154, Loss 49.7678, TD-Loss 15.6104, NTD-Loss 20.9526, Margin Loss 13.2032, L2 Loss 0.0016
Epoch 155, Loss 27.4535, TD-Loss 20.6520, NTD-Loss 18.3108, Margin Loss -11.5109, L2 Loss 0.0016
Epoch 156, Loss 38.3127, TD-Loss 14.0788, NTD-Loss 17.9975, Margin Loss 6.2347, L2 Loss 0.0016
Epoch 157, Loss 37.7475, TD-Loss 14.8696, NTD-Loss 17.5367, Margin Loss 5.3397, L2 Loss 0.0016
Epoch 158, Loss 35.2386, TD-Loss 16.0032, NTD-Loss 17.6216, Margin Loss 1.6122, L2 Loss 0.0016
Epoch 159, Loss 33.4178, TD-Loss 12.3762, NTD-Loss 15.4232, Margin Loss 5.6168, L2 Loss 0.0016
Epoch 160, Loss 43.7967, TD-Loss 17.8576, NTD-Loss 20.7288, Margin Loss 5.2087, L2 Loss 0.0016
Epoch 161, Loss 32.4560, TD-Loss 18.4453, NTD-Loss 16.7429, Margin Loss -2.7339, L2 Loss 0.0016
Epoch 162, Loss 39.1416, TD-Loss 16.3176, NTD-Loss 17.5397, Margin Loss 5.2827, L2 Loss 0.0016
Epoch 163, Loss 36.9128, TD-Loss 12.5536, NTD-Loss 15.8178, Margin Loss 8.5398, L2 Loss 0.0016
Epoch 164, Loss 42.9688, TD-Loss 15.7637, NTD-Loss 19.9964, Margin Loss 7.2071, L2 Loss 0.0016
Epoch 165, Loss 26.2843, TD-Loss 14.6718, NTD-Loss 15.3947, Margin Loss -3.7837, L2 Loss 0.0016
Epoch 166, Loss 28.9747, TD-Loss 12.0332, NTD-Loss 13.4308, Margin Loss 3.5091, L2 Loss 0.0016
