Epoch 144, Loss 36.9874, TD-Loss 18.6070, NTD-Loss 19.2899, Margin Loss -0.9111, L2 Loss 0.0016
Epoch 145, Loss 30.4123, TD-Loss 14.7310, NTD-Loss 14.5078, Margin Loss 1.1719, L2 Loss 0.0016
Epoch 146, Loss 31.4001, TD-Loss 15.0433, NTD-Loss 15.8866, Margin Loss 0.4686, L2 Loss 0.0016
Epoch 147, Loss 30.1168, TD-Loss 13.9089, NTD-Loss 15.2128, Margin Loss 0.9934, L2 Loss 0.0016
Epoch 148, Loss 27.5085, TD-Loss 12.7923, NTD-Loss 13.8247, Margin Loss 0.8899, L2 Loss 0.0016
Epoch 149, Loss 35.6071, TD-Loss 17.3132, NTD-Loss 17.6767, Margin Loss 0.6157, L2 Loss 0.0016
Epoch 150, Loss 33.3065, TD-Loss 15.7981, NTD-Loss 16.3062, Margin Loss 1.2005, L2 Loss 0.0016
Epoch 151, Loss 35.4974, TD-Loss 17.2412, NTD-Loss 17.5680, Margin Loss 0.6866, L2 Loss 0.0016
Epoch 152, Loss 36.9312, TD-Loss 17.3743, NTD-Loss 17.9434, Margin Loss 1.6119, L2 Loss 0.0016
Epoch 153, Loss 31.8981, TD-Loss 14.5663, NTD-Loss 15.9825, Margin Loss 1.3477, L2 Loss 0.0016
Epoch 154, Loss 32.7739, TD-Loss 15.5434, NTD-Loss 16.4016, Margin Loss 0.8273, L2 Loss 0.0016
Epoch 155, Loss 34.5666, TD-Loss 15.9199, NTD-Loss 16.6712, Margin Loss 1.9739, L2 Loss 0.0016
Epoch 156, Loss 28.1602, TD-Loss 13.5999, NTD-Loss 14.8520, Margin Loss -0.2933, L2 Loss 0.0016
Epoch 157, Loss 34.3583, TD-Loss 16.0808, NTD-Loss 16.1625, Margin Loss 2.1134, L2 Loss 0.0016
Epoch 158, Loss 29.1051, TD-Loss 13.2599, NTD-Loss 14.9870, Margin Loss 0.8566, L2 Loss 0.0016
Epoch 159, Loss 33.2323, TD-Loss 16.3350, NTD-Loss 16.2960, Margin Loss 0.5997, L2 Loss 0.0016
Epoch 160, Loss 37.6057, TD-Loss 18.6963, NTD-Loss 19.3079, Margin Loss -0.4001, L2 Loss 0.0016
Epoch 161, Loss 37.7142, TD-Loss 17.9174, NTD-Loss 18.1150, Margin Loss 1.6801, L2 Loss 0.0016
Epoch 162, Loss 27.9180, TD-Loss 14.7080, NTD-Loss 14.1367, Margin Loss -0.9284, L2 Loss 0.0016
